MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250225, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250225, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250225, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250225, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250225, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250225, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250217, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250217, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250217, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250217, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250217, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250217, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250217, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250217, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250217, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250217, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250217, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250217, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250224, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250218, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250218, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250218, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250218, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250218, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250218, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250224, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250218, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250218, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250218, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250218, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250218, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250218, PERIODE: 0005
